City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,ewa beach,21.3156,-158.0072,25.97,77,0,3.09,US,1675493310
155,pevek,69.7008,170.3133,-34.86,99,32,1.22,RU,1675493311
156,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,53,0,2.0,RU,1675493311
157,kailua,21.4022,-157.7394,25.99,87,75,2.57,US,1675493312
158,san felipe,10.3399,-68.7425,21.17,93,100,2.13,VE,1675493312
159,polis,35.0367,32.4264,9.6,96,37,6.02,CY,1675493312
160,quincy,42.2529,-71.0023,-21.04,39,20,10.29,US,1675493313
161,cayenne,4.9333,-52.3333,25.02,88,100,0.51,GF,1675493313
162,dikson,73.5069,80.5464,-24.15,100,99,0.92,RU,1675493313
163,hithadhoo,-0.6,73.0833,27.52,71,83,7.86,MV,1675493314
164,buraydah,26.326,43.975,12.25,37,0,5.51,SA,1675493314
165,iroquois falls,48.7669,-80.6831,-30.95,97,99,2.13,CA,1675493201
166,taoudenni,22.6783,-3.9836,11.98,35,100,4.94,ML,1675493315
167,college,64.8569,-147.8028,-12.83,84,100,0.0,US,1675493315
168,saint-augustin,51.226,-58.6502,-23.29,85,21,8.42,CA,1675493315
169,bud,39.447,-86.1758,-8.51,77,6,2.31,US,1675493316
170,jimenez,28.3333,-105.4,11.25,38,0,2.3,MX,1675493316
171,bulgan,48.8125,103.5347,-9.24,74,84,1.17,MN,1675493316
172,sioux lookout,50.1001,-91.917,-17.96,71,100,6.69,CA,1675493317
173,miri,4.4148,114.0089,29.08,74,40,2.57,MY,1675493317
174,husavik,66.0449,-17.3389,-0.28,59,0,8.01,IS,1675493317
175,norman wells,65.282,-126.8329,-30.98,76,100,1.54,CA,1675493318
176,ketchikan,55.3422,-131.6461,6.99,93,100,3.6,US,1675493318
177,minsk,53.9,27.5667,-6.14,96,96,2.75,BY,1675493280
178,lompoc,34.6391,-120.4579,10.32,95,0,3.09,US,1675493318
179,kamenka,51.3223,42.7678,-5.82,95,100,3.6,RU,1675493319
180,maningrida,-12.0667,134.2667,27.55,77,99,4.26,AU,1675493319
181,mitsamiouli,-11.3847,43.2844,27.3,76,100,2.41,KM,1675493320
182,paamiut,61.994,-49.6678,-17.1,96,59,4.87,GL,1675493320
183,souillac,-20.5167,57.5167,29.21,74,40,4.63,MU,1675493320
184,saint-pierre,-21.3393,55.4781,28.82,74,20,11.32,RE,1675493321
185,sayat,38.7839,63.8803,5.93,77,11,0.61,TM,1675493321
186,mtambile,-5.3833,39.7,27.9,70,96,3.58,TZ,1675493321
187,lavras,-21.2453,-44.9997,17.87,92,100,0.9,BR,1675493322
188,yafran,32.0633,12.5286,6.08,73,1,3.72,LY,1675493322
189,tuktoyaktuk,69.4541,-133.0374,-42.0,66,40,1.54,CA,1675493323
190,ostrovnoy,68.0531,39.5131,-9.52,93,97,4.31,RU,1675493323
191,christchurch,-43.5333,172.6333,27.11,50,0,6.17,NZ,1675493282
192,mar del plata,-38.0023,-57.5575,20.49,72,40,4.47,AR,1675493044
193,kosh-agach,50.0,88.6667,-11.66,86,90,0.92,RU,1675493323
194,ribeira grande,38.5167,-28.7,15.99,92,83,4.47,PT,1675493324
195,chumikan,54.7183,135.315,-19.96,83,80,7.14,RU,1675493324
196,dubbo,-32.25,148.6167,26.07,21,0,4.63,AU,1675493258
197,ostersund,63.1792,14.6357,-12.75,100,100,0.0,SE,1675493325
198,iqaluit,63.7506,-68.5145,-36.15,61,20,7.2,CA,1675493325
199,lebu,-37.6167,-73.65,15.26,80,0,2.32,CL,1675493297
200,pochutla,15.7432,-96.4661,23.23,60,19,1.57,MX,1675493325
201,gevrai,19.2667,75.75,28.2,12,61,1.81,IN,1675493326
202,lamu,-2.2717,40.902,27.12,70,19,3.91,KE,1675493326
203,tuatapere,-46.1333,167.6833,23.18,68,89,0.56,NZ,1675493327
204,nuuk,64.1835,-51.7216,-11.86,89,100,3.36,GL,1675493327
205,kieta,-6.2167,155.6333,27.41,83,58,1.19,PG,1675493327
206,san quintin,30.4833,-115.95,13.69,74,4,3.21,MX,1675493179
207,saint anthony,45.0205,-93.218,-14.82,69,0,5.14,US,1675493154
208,walldurn,49.5833,9.3667,3.69,81,100,2.0,DE,1675493328
209,mpika,-11.8343,31.4529,18.96,91,88,0.32,ZM,1675493328
210,clyde river,70.4692,-68.5914,-32.87,62,0,6.17,CA,1675493328
211,santiago,-33.4569,-70.6483,24.03,52,0,3.09,CL,1675493100
212,taylorville,39.5489,-89.2945,-7.3,67,0,4.12,US,1675493329
213,tshikapa,-6.4167,20.8,21.9,96,100,1.24,CD,1675493329
214,presidente olegario,-18.4178,-46.4181,19.68,75,100,0.21,BR,1675493330
215,chipinge,-20.1883,32.6236,24.67,63,96,1.23,ZW,1675493330
216,benjamin constant,-4.3831,-70.0311,23.07,98,100,0.19,BR,1675493330
217,sidi ali,36.0998,0.4206,7.53,87,6,1.38,DZ,1675493331
218,lincoln,40.8,-96.667,-1.36,73,0,2.24,US,1675493332
219,soskovo,52.7475,35.3828,-2.64,94,100,1.88,RU,1675493332
220,charlestown,-32.95,151.6667,28.95,27,0,1.81,AU,1675493333
221,leningradskiy,69.3833,178.4167,-30.62,98,100,1.9,RU,1675493333
222,williston,48.147,-103.618,0.17,85,100,0.45,US,1675493215
223,zhob,31.3411,69.4481,14.61,27,20,4.42,PK,1675493091
224,vestmannaeyjar,63.4427,-20.2734,2.85,51,100,15.89,IS,1675493333
225,sorland,67.667,12.6934,1.92,73,100,10.12,NO,1675493334
226,teteven,42.9167,24.2667,1.91,88,77,2.11,BG,1675493334
227,woodward,36.4337,-99.3904,6.57,67,0,7.2,US,1675493334
228,ndele,8.4109,20.6473,26.66,14,16,3.94,CF,1675493335
229,kathu,7.9178,98.3332,31.9,99,44,5.5,TH,1675493335
230,elat,29.5581,34.9482,10.91,82,3,0.0,IL,1675493335
231,iquique,-20.2208,-70.1431,23.02,80,73,0.53,CL,1675493336
232,longyearbyen,78.2186,15.6401,-14.09,66,0,2.57,SJ,1675493336
233,banyo,6.75,11.8167,22.86,24,94,1.07,CM,1675493337
234,bodden town,19.2833,-81.25,25.52,79,5,4.45,KY,1675493337
235,lorengau,-2.0226,147.2712,27.99,72,100,1.88,PG,1675493337
236,seagoville,32.6396,-96.5383,5.66,78,51,2.82,US,1675493337
237,suntar,62.1444,117.6319,-26.73,92,100,1.9,RU,1675493338
238,qaqortoq,60.7167,-46.0333,-21.23,79,19,3.38,GL,1675493338
239,yanam,16.7333,82.2167,30.78,38,6,2.75,IN,1675493338
240,cabo san lucas,22.8909,-109.9124,18.62,73,17,0.92,MX,1675493339
241,ulaanbaatar,47.9077,106.8832,-11.93,61,56,1.0,MN,1675493340
242,rocha,-34.4833,-54.3333,17.33,89,7,4.07,UY,1675493306
243,rock springs,41.5875,-109.2029,-6.31,80,0,0.0,US,1675493340
244,purpe,64.4803,76.6897,-11.53,91,79,4.32,RU,1675493340
245,acajutla,13.5928,-89.8275,26.69,54,6,4.7,SV,1675493341
246,barranca,-10.75,-77.7667,21.42,85,98,1.97,PE,1675493341
247,lavrentiya,65.5833,-171.0,-28.56,93,66,3.02,RU,1675493342
248,chokurdakh,70.6333,147.9167,-31.01,99,32,3.94,RU,1675493342
249,linares,-35.85,-71.6,16.48,72,0,0.53,CL,1675493343
250,pokrovskoye,47.4157,38.8971,0.37,94,33,3.46,RU,1675493343
251,gorontalo,0.5412,123.0595,27.57,78,100,1.44,ID,1675493343
252,nishihara,26.1842,127.7558,18.03,68,100,4.63,JP,1675493344
253,grand gaube,-20.0064,57.6608,29.65,70,45,2.24,MU,1675493344
254,fallon,39.4735,-118.7774,1.07,83,75,2.57,US,1675493335
255,hamilton,39.1834,-84.5333,-7.78,73,0,2.57,US,1675493345
256,le port,-20.9373,55.2919,29.98,78,24,1.22,RE,1675493345
257,antalaha,-14.9003,50.2788,30.46,57,4,3.39,MG,1675493345
258,ibipeba,-11.6408,-42.0111,19.03,92,65,2.47,BR,1675493346
259,wajima,37.4,136.9,5.38,87,75,2.06,JP,1675493346
260,mikhaylovka,50.06,43.2379,-2.94,91,100,4.43,RU,1675493346
261,ahipara,-35.1667,173.1667,20.81,86,100,3.16,NZ,1675493347
262,lazaro cardenas,17.9583,-102.2,21.95,81,0,2.05,MX,1675493347
263,palora,-1.7,-77.9333,19.09,78,72,1.36,EC,1675493347
264,cabuyaro,4.2817,-72.794,23.23,50,10,2.05,CO,1675493348
265,xining,36.6167,101.7667,3.06,24,100,0.96,CN,1675493348
266,brownsville,25.9018,-97.4975,12.17,88,100,3.6,US,1675493349
267,airai,-8.9266,125.4092,17.7,91,100,1.47,TL,1675493349
268,whitehorse,60.7161,-135.0538,-11.22,79,100,1.54,CA,1675493100
269,ilulissat,69.2167,-51.1,-14.99,85,100,10.29,GL,1675493350
270,abu samrah,35.3029,37.1841,5.03,92,100,4.58,SY,1675493350
271,calbuco,-41.768,-73.1273,15.56,87,0,6.61,CL,1675493351
272,nizwa,22.9333,57.5333,24.12,36,17,2.29,OM,1675493351
273,kavaratti,10.5669,72.642,27.68,62,1,2.6,IN,1675493351
274,kibaya,-5.3,36.5667,19.81,78,93,0.92,TZ,1675493352
275,thinadhoo,0.5333,72.9333,27.17,70,100,6.78,MV,1675493352
276,guerrero negro,27.9769,-114.0611,14.36,77,1,3.89,MX,1675493352
277,klaksvik,62.2266,-6.589,9.51,96,100,13.06,FO,1675493353
278,spas-klepiki,55.1347,40.1767,1.05,95,100,2.47,RU,1675493353
279,sao joao da barra,-21.6403,-41.0511,23.49,88,100,6.68,BR,1675493353
280,ardesen,41.1911,40.9875,8.73,43,100,2.31,TR,1675493354
281,kaitangata,-46.2817,169.8464,20.82,74,3,3.33,NZ,1675493354
282,eyl,7.9803,49.8164,26.6,53,66,9.14,SO,1675493354
283,mutis,6.2262,-77.4044,24.76,86,58,3.27,CO,1675493355
284,dawlatabad,36.4141,64.9053,13.51,37,9,1.5,AF,1675493355
285,solnechnyy,50.7214,136.6319,-19.03,97,100,1.7,RU,1675493356
286,westport,41.1415,-73.3579,-12.73,50,0,6.17,US,1675493356
287,sakaiminato,35.55,133.2333,7.96,81,75,3.09,JP,1675493357
288,te anau,-45.4167,167.7167,25.48,58,11,1.74,NZ,1675493357
289,temiscaming,46.7212,-79.0971,-31.25,83,34,2.57,CA,1675493357
290,kattivakkam,13.2167,80.3167,31.05,62,0,6.41,IN,1675493358
291,davila,18.4726,120.5763,29.99,66,55,8.49,PH,1675493358
292,sirawai,7.5854,122.1407,28.61,73,99,3.93,PH,1675493358
293,beringovskiy,63.05,179.3167,-25.98,97,100,6.17,RU,1675493359
294,porto novo,6.4965,2.6036,26.9,80,79,2.5,BJ,1675493359
295,chapleau,47.8405,-83.4034,-21.08,96,100,3.89,CA,1675493359
296,morondava,-20.2833,44.2833,28.36,74,0,0.52,MG,1675493360
297,valparaiso,-33.0393,-71.6273,14.8,88,0,1.03,CL,1675493171
298,arlit,18.7369,7.3853,19.75,17,11,2.12,NE,1675493360
299,codrington,-38.2667,141.9667,17.06,64,84,6.93,AU,1675493361
300,takaungu,-3.6837,39.8566,29.27,62,43,3.15,KE,1675493361
301,altamira,-3.2033,-52.2064,21.33,99,57,0.65,BR,1675493064
302,vangaindrano,-23.35,47.6,25.16,88,57,1.14,MG,1675493362
303,verkhovazhye,60.7472,42.0465,-9.02,97,98,1.25,RU,1675493362
304,hukuntsi,-24.0,21.75,25.19,59,100,4.25,BW,1675493362
305,nhulunbuy,-12.2333,136.7667,28.34,78,100,3.09,AU,1675493363
306,agadir,30.4202,-9.5982,8.25,40,0,3.78,MA,1675493363
307,ust-kulom,61.6864,53.6902,-8.79,96,91,1.86,RU,1675493364
308,vyartsilya,62.1764,30.693,-7.42,91,88,4.2,RU,1675493364
309,okahandja,-21.9833,16.9167,22.68,69,100,0.99,NA,1675493364
310,carnarvon,-24.8667,113.6333,29.79,59,4,6.52,AU,1675493365
311,kiunga,-6.1219,141.2906,26.73,95,100,1.87,PG,1675493365
312,prince rupert,54.3161,-130.3201,6.05,87,100,9.26,CA,1675493366
313,pontianak,-0.0333,109.3333,30.99,70,75,4.12,ID,1675493366
314,benguela,-12.5763,13.4055,25.78,76,89,1.47,AO,1675493366
315,ayagoz,47.9714,80.4392,0.22,100,100,2.62,KZ,1675493367
316,hede,33.7681,120.2517,8.11,42,84,4.58,CN,1675493367
317,panaba,21.2833,-88.2667,21.24,91,26,3.58,MX,1675493367
318,jinsha,32.0898,121.0735,8.27,44,1,4.43,CN,1675493368
319,pangkalanbuun,-2.6833,111.6167,31.4,57,98,1.89,ID,1675493368
320,markova,48.6758,24.4138,-1.44,89,100,2.05,UA,1675493368
321,turukhansk,65.8167,87.9833,-10.51,96,97,1.48,RU,1675493369
322,windhoek,-22.5594,17.0832,23.01,65,75,3.13,NA,1675493154
323,nago,26.5881,127.9761,18.47,70,100,4.78,JP,1675493369
324,turan,16.0678,108.2208,25.99,78,40,5.14,VN,1675493299
325,la romana,18.4273,-68.9728,22.07,88,47,2.89,DO,1675493370
326,mackay,-21.15,149.2,26.66,85,100,4.23,AU,1675493370
327,mercedes,-34.6515,-59.4307,17.1,91,0,2.15,AR,1675493371
328,cambridge,43.3601,-80.3127,-15.4,71,100,0.0,CA,1675493129
329,fort saint james,54.4333,-124.25,-3.75,99,100,0.81,CA,1675493371
330,mao,39.8885,4.2658,7.31,100,0,3.09,ES,1675493371
